# LAMMPS data file written by OVITO Basic 3.5.4
16848 atoms
4 atom types
0.0 79.029 xlo xhi
0.0 79.029 ylo yhi
0.0 79.029 zlo zhi
0.0000 0.0000 0.0000 xy xz yz

Masses

1 12.0107  # C
2 63.546  # Cu
3 1.00794  # H
4 15.9994  # O

Atoms  # charge

105 1 0.0 5.35263417 24.53297247 7.81912926
106 1 0.0 20.9901024 24.53297247 18.5243976
107 1 0.0 5.35263417 1.8097641 18.5243976
108 1 0.0 20.9901024 1.8097641 7.81912926
109 1 0.0 5.35263417 7.81912926 1.8097641
110 1 0.0 20.9901024 18.5243976 1.8097641
111 1 0.0 5.35263417 18.5243976 24.53297247
112 1 0.0 20.9901024 7.81912926 24.53297247
113 1 0.0 7.81912926 24.53297247 20.9901024
114 1 0.0 18.5243976 24.53297247 5.35263417
115 1 0.0 18.5243976 1.8097641 20.9901024
116 1 0.0 7.81912926 1.8097641 5.35263417
117 1 0.0 24.53297247 5.35263417 18.5243976
118 1 0.0 24.53297247 20.9901024 7.81912926
119 1 0.0 1.8097641 5.35263417 7.81912926
120 1 0.0 1.8097641 20.9901024 18.5243976
121 1 0.0 18.5243976 20.9901024 1.8097641
122 1 0.0 7.81912926 5.35263417 1.8097641
123 1 0.0 7.81912926 20.9901024 24.53297247
124 1 0.0 18.5243976 5.35263417 24.53297247
125 1 0.0 1.8097641 18.5243976 20.9901024
126 1 0.0 1.8097641 7.81912926 5.35263417
127 1 0.0 24.53297247 7.81912926 20.9901024
128 1 0.0 24.53297247 18.5243976 5.35263417
129 1 0.0 20.9901024 1.8097641 18.5243976
130 1 0.0 5.35263417 1.8097641 7.81912926
131 1 0.0 20.9901024 24.53297247 7.81912926
132 1 0.0 5.35263417 24.53297247 18.5243976
133 1 0.0 20.9901024 18.5243976 24.53297247
134 1 0.0 5.35263417 7.81912926 24.53297247
135 1 0.0 20.9901024 7.81912926 1.8097641
136 1 0.0 5.35263417 18.5243976 1.8097641
137 1 0.0 18.5243976 1.8097641 5.35263417
138 1 0.0 7.81912926 1.8097641 20.9901024
139 1 0.0 7.81912926 24.53297247 5.35263417
140 1 0.0 18.5243976 24.53297247 20.9901024
141 1 0.0 1.8097641 20.9901024 7.81912926
142 1 0.0 1.8097641 5.35263417 18.5243976
143 1 0.0 24.53297247 20.9901024 18.5243976
144 1 0.0 24.53297247 5.35263417 7.81912926
145 1 0.0 7.81912926 18.5243976 11.36199933
146 1 0.0 18.5243976 7.81912926 11.36199933
147 1 0.0 18.5243976 18.5243976 14.98073724
148 1 0.0 7.81912926 7.81912926 14.98073724
149 1 0.0 5.35263417 11.36199933 20.9901024
150 1 0.0 20.9901024 11.36199933 5.35263417
151 1 0.0 5.35263417 14.98073724 5.35263417
152 1 0.0 20.9901024 14.98073724 20.9901024
153 1 0.0 5.35263417 20.9901024 14.98073724
154 1 0.0 20.9901024 5.35263417 14.98073724
155 1 0.0 5.35263417 5.35263417 11.36199933
156 1 0.0 20.9901024 20.9901024 11.36199933
157 1 0.0 7.81912926 11.36199933 7.81912926
158 1 0.0 18.5243976 11.36199933 18.5243976
159 1 0.0 18.5243976 14.98073724 7.81912926
